,Date,Home,Away,Win Percent Diff,WP vs. A Diff,Points Diff,Result
0,2021-10-19,Milwaukee Bucks,Brooklyn Nets,0.0,0.0,0.0,1
1,2021-10-19,Los Angeles Lakers,Golden State Warriors,0.0,0.0,0.0,0
2,2021-10-20,Charlotte Hornets,Indiana Pacers,0.0,0.0,0.0,1
3,2021-10-20,Detroit Pistons,Chicago Bulls,0.0,0.0,0.0,0
4,2021-10-20,New York Knicks,Boston Celtics,0.0,0.0,0.0,1
5,2021-10-20,Toronto Raptors,Washington Wizards,0.0,0.0,0.0,0
6,2021-10-20,Memphis Grizzlies,Cleveland Cavaliers,0.0,0.0,0.0,1
7,2021-10-20,Minnesota Timberwolves,Houston Rockets,0.0,0.0,0.0,1
8,2021-10-20,New Orleans Pelicans,Philadelphia 76ers,0.0,0.0,0.0,0
9,2021-10-20,San Antonio Spurs,Orlando Magic,0.0,0.0,0.0,1
10,2021-10-20,Utah Jazz,Oklahoma City Thunder,0.0,0.0,0.0,1
11,2021-10-20,Phoenix Suns,Denver Nuggets,0.0,0.0,0.0,0
12,2021-10-20,Portland Trail Blazers,Sacramento Kings,0.0,0.0,0.0,0
13,2021-10-21,Atlanta Hawks,Dallas Mavericks,0.0,0.0,0.0,1
14,2021-10-21,Miami Heat,Milwaukee Bucks,0.0,0.0,0.0,1
15,2021-10-21,Golden State Warriors,LA Clippers,1.0,0.0,121.0,1
16,2021-10-22,Cleveland Cavaliers,Charlotte Hornets,-1.0,0.0,-2.0,0
17,2021-10-22,Orlando Magic,New York Knicks,-1.0,0.0,-41.0,0
18,2021-10-22,Washington Wizards,Indiana Pacers,1.0,0.0,-24.0,1
19,2021-10-22,Boston Celtics,Toronto Raptors,0.0,0.0,51.0,0
20,2021-10-22,Philadelphia 76ers,Brooklyn Nets,1.0,0.0,117.0,0
21,2021-10-22,Chicago Bulls,New Orleans Pelicans,1.0,0.0,-3.0,1
22,2021-10-22,Houston Rockets,Oklahoma City Thunder,0.0,0.0,20.0,1
23,2021-10-22,Denver Nuggets,San Antonio Spurs,0.0,0.0,-13.0,1
24,2021-10-22,Los Angeles Lakers,Phoenix Suns,0.0,0.0,16.0,0
25,2021-10-22,Sacramento Kings,Utah Jazz,0.0,0.0,17.0,0
26,2021-10-23,Cleveland Cavaliers,Atlanta Hawks,-1.0,0.0,3.5,1
27,2021-10-23,Indiana Pacers,Miami Heat,-1.0,0.0,-9.0,1
28,2021-10-23,Toronto Raptors,Dallas Mavericks,0.5,0.0,12.0,0
29,2021-10-23,Chicago Bulls,Detroit Pistons,1.0,1.0,23.0,1
30,2021-10-23,Minnesota Timberwolves,New Orleans Pelicans,1.0,0.0,19.5,1
31,2021-10-23,San Antonio Spurs,Milwaukee Bucks,0.5,0.0,14.5,0
32,2021-10-23,Portland Trail Blazers,Phoenix Suns,-0.5,0.0,14.5,1
33,2021-10-23,LA Clippers,Memphis Grizzlies,-1.0,0.0,-19.0,0
34,2021-10-24,Brooklyn Nets,Charlotte Hornets,0.0,0.0,-9.0,0
35,2021-10-24,New York Knicks,Orlando Magic,1.0,1.0,33.0,0
36,2021-10-24,Houston Rockets,Boston Celtics,0.5,0.0,6.5,0
37,2021-10-24,Oklahoma City Thunder,Philadelphia 76ers,-0.5,0.0,-24.5,0
38,2021-10-24,Sacramento Kings,Golden State Warriors,-0.5,0.0,-5.5,0
39,2021-10-24,Los Angeles Lakers,Memphis Grizzlies,-1.0,0.0,-16.5,1
40,2021-10-25,Charlotte Hornets,Boston Celtics,0.6666666666666667,0.0,11.0,0
41,2021-10-25,Indiana Pacers,Milwaukee Bucks,-0.16666666666666669,0.0,11.333333333333329,0
42,2021-10-25,Atlanta Hawks,Detroit Pistons,0.5,0.0,19.0,1
43,2021-10-25,Brooklyn Nets,Washington Wizards,-0.5,0.0,-12.0,1
44,2021-10-25,Miami Heat,Orlando Magic,0.16666666666666669,0.0,13.0,1
45,2021-10-25,Toronto Raptors,Chicago Bulls,-0.6666666666666667,0.0,-8.666666666666657,0
46,2021-10-25,Minnesota Timberwolves,New Orleans Pelicans,1.0,1.0,10.666666666666671,0
47,2021-10-25,Denver Nuggets,Cleveland Cavaliers,0.6666666666666667,0.0,-5.333333333333329,0
48,2021-10-25,LA Clippers,Portland Trail Blazers,-0.5,0.0,-14.0,1
49,2021-10-26,New York Knicks,Philadelphia 76ers,0.0,0.0,7.333333333333329,1
50,2021-10-26,Oklahoma City Thunder,Golden State Warriors,-1.0,0.0,-25.0,0
51,2021-10-26,Dallas Mavericks,Houston Rockets,0.16666666666666669,0.0,-14.0,1
52,2021-10-26,San Antonio Spurs,Los Angeles Lakers,0.0,0.0,-3.3333333333333286,0
53,2021-10-26,Utah Jazz,Denver Nuggets,0.33333333333333337,0.0,8.833333333333329,1
54,2021-10-27,Orlando Magic,Charlotte Hornets,-0.5,0.0,-23.25,0
55,2021-10-27,Boston Celtics,Washington Wizards,-0.16666666666666663,0.0,8.333333333333329,0
56,2021-10-27,Brooklyn Nets,Miami Heat,0.0,0.0,-7.333333333333343,0
57,2021-10-27,Toronto Raptors,Indiana Pacers,0.0,0.0,-16.5,1
58,2021-10-27,New Orleans Pelicans,Atlanta Hawks,-0.41666666666666663,0.0,-8.75,0
59,2021-10-27,Milwaukee Bucks,Minnesota Timberwolves,0.0,0.0,5.666666666666671,0
60,2021-10-27,Oklahoma City Thunder,Los Angeles Lakers,-0.5,0.0,-21.75,1
61,2021-10-27,Phoenix Suns,Sacramento Kings,0.0,0.0,-4.666666666666671,0
62,2021-10-27,Portland Trail Blazers,Memphis Grizzlies,-0.3333333333333333,0.0,-9.666666666666657,1
63,2021-10-27,LA Clippers,Cleveland Cavaliers,-0.16666666666666669,0.0,6.083333333333329,0
64,2021-10-28,Philadelphia 76ers,Detroit Pistons,0.5,0.0,18.66666666666667,1
65,2021-10-28,Washington Wizards,Atlanta Hawks,0.0,0.0,1.75,1
66,2021-10-28,Chicago Bulls,New York Knicks,0.25,0.0,-11.25,0
67,2021-10-28,Houston Rockets,Utah Jazz,-0.75,0.0,-4.75,0
68,2021-10-28,Dallas Mavericks,San Antonio Spurs,0.41666666666666663,0.0,-10.75,1
69,2021-10-28,Golden State Warriors,Memphis Grizzlies,0.5,0.0,-1.25,0
70,2021-10-29,Toronto Raptors,Orlando Magic,0.2,0.0,3.0,1
71,2021-10-29,Brooklyn Nets,Indiana Pacers,0.3,0.0,-11.900000000000006,1
72,2021-10-29,Miami Heat,Charlotte Hornets,-0.050000000000000044,0.0,-10.950000000000003,1
73,2021-10-29,New Orleans Pelicans,Sacramento Kings,-0.3,0.0,-9.700000000000003,0
74,2021-10-29,Denver Nuggets,Dallas Mavericks,-0.25,0.0,-0.25,1
75,2021-10-29,Portland Trail Blazers,LA Clippers,0.25,-1.0,8.75,1
76,2021-10-29,Los Angeles Lakers,Cleveland Cavaliers,-0.19999999999999996,0.0,11.0,1
77,2021-10-30,Washington Wizards,Boston Celtics,0.4,1.0,-2.0,1
78,2021-10-30,Detroit Pistons,Orlando Magic,-0.16666666666666666,0.0,-8.166666666666671,1
79,2021-10-30,New Orleans Pelicans,New York Knicks,-0.6333333333333334,0.0,-13.633333333333326,0
80,2021-10-30,Indiana Pacers,Toronto Raptors,-0.33333333333333337,-1.0,6.0,0
81,2021-10-30,Philadelphia 76ers,Atlanta Hawks,0.0,0.0,1.4000000000000057,1
82,2021-10-30,Chicago Bulls,Utah Jazz,-0.19999999999999996,0.0,-8.650000000000006,1
83,2021-10-30,Memphis Grizzlies,Miami Heat,-0.20000000000000007,0.0,3.0,0
84,2021-10-30,Milwaukee Bucks,San Antonio Spurs,0.3,1.0,0.75,0
85,2021-10-30,Golden State Warriors,Oklahoma City Thunder,0.6000000000000001,1.0,12.200000000000003,1
86,2021-10-30,Minnesota Timberwolves,Denver Nuggets,0.15000000000000002,0.0,4.75,0
87,2021-10-30,Phoenix Suns,Cleveland Cavaliers,-0.25,0.0,1.9166666666666714,1
88,2021-10-31,Dallas Mavericks,Sacramento Kings,0.0,0.0,-14.0,1
89,2021-10-31,Charlotte Hornets,Portland Trail Blazers,0.06666666666666665,0.0,3.9000000000000057,1
90,2021-10-31,Milwaukee Bucks,Utah Jazz,-0.4,0.0,-4.799999999999997,0
91,2021-10-31,Brooklyn Nets,Detroit Pistons,0.39999999999999997,0.0,5.0,1
92,2021-10-31,Los Angeles Lakers,Houston Rockets,0.3,0.0,10.700000000000003,1
93,2021-11-01,Charlotte Hornets,Cleveland Cavaliers,0.28571428571428575,1.0,16.0,0
94,2021-11-01,Indiana Pacers,San Antonio Spurs,-0.19047619047619047,0.0,-0.2380952380952408,1
95,2021-11-01,Philadelphia 76ers,Portland Trail Blazers,0.16666666666666663,0.0,-1.5,1
96,2021-11-01,Atlanta Hawks,Washington Wizards,-0.33333333333333337,-1.0,-6.5,1
97,2021-11-01,Boston Celtics,Chicago Bulls,-0.5,0.0,7.166666666666657,0
98,2021-11-01,New York Knicks,Toronto Raptors,0.261904761904762,0.0,13.285714285714292,0
99,2021-11-01,Memphis Grizzlies,Denver Nuggets,-0.16666666666666663,0.0,10.833333333333343,1
100,2021-11-01,Minnesota Timberwolves,Orlando Magic,0.45714285714285713,0.0,2.114285714285714,0
101,2021-11-01,LA Clippers,Oklahoma City Thunder,0.033333333333333354,0.0,5.633333333333326,1
102,2021-11-02,Detroit Pistons,Milwaukee Bucks,-0.16666666666666666,0.0,-9.0,0
103,2021-11-02,Dallas Mavericks,Miami Heat,-0.16666666666666674,0.0,-15.666666666666671,0
104,2021-11-02,Utah Jazz,Sacramento Kings,0.33333333333333337,1.0,2.1666666666666714,1
105,2021-11-02,Phoenix Suns,New Orleans Pelicans,0.2571428571428572,0.0,0.914285714285711,1
106,2021-11-02,Los Angeles Lakers,Houston Rockets,0.40476190476190477,1.0,11.07142857142857,1
107,2021-11-03,Cleveland Cavaliers,Portland Trail Blazers,0.07142857142857145,0.0,-8.125,1
108,2021-11-03,Indiana Pacers,New York Knicks,-0.4642857142857143,0.0,-3.892857142857139,1
109,2021-11-03,Orlando Magic,Boston Celtics,-0.0357142857142857,0.0,-9.982142857142861,0
110,2021-11-03,Philadelphia 76ers,Chicago Bulls,-0.1428571428571428,0.0,2.4285714285714306,1
111,2021-11-03,Washington Wizards,Toronto Raptors,0.0892857142857143,1.0,7.553571428571431,0
112,2021-11-03,Brooklyn Nets,Atlanta Hawks,0.09523809523809523,0.0,-3.19047619047619,1
113,2021-11-03,Memphis Grizzlies,Denver Nuggets,0.0,1.0,10.571428571428584,1
114,2021-11-03,Minnesota Timberwolves,LA Clippers,0.16666666666666669,0.0,1.0,0
115,2021-11-03,San Antonio Spurs,Dallas Mavericks,-0.2857142857142857,-1.0,10.0,0
116,2021-11-03,Golden State Warriors,Charlotte Hornets,0.20833333333333337,0.0,-6.666666666666671,1
117,2021-11-03,Sacramento Kings,New Orleans Pelicans,0.30357142857142855,1.0,5.821428571428569,1
118,2021-11-04,Detroit Pistons,Philadelphia 76ers,-0.6071428571428572,-1.0,-15.857142857142861,0
119,2021-11-04,Atlanta Hawks,Utah Jazz,-0.3571428571428571,0.0,-4.410714285714292,0
120,2021-11-04,Miami Heat,Boston Celtics,0.4821428571428571,0.0,4.446428571428569,0
121,2021-11-04,Phoenix Suns,Houston Rockets,0.35714285714285715,0.0,2.6190476190476204,1
122,2021-11-04,Los Angeles Lakers,Oklahoma City Thunder,0.48214285714285715,-1.0,16.660714285714292,0
123,2021-11-05,Detroit Pistons,Brooklyn Nets,-0.5892857142857143,-1.0,-10.92857142857143,0
124,2021-11-05,Orlando Magic,San Antonio Spurs,-0.02777777777777779,-1.0,-8.638888888888886,0
125,2021-11-05,Washington Wizards,Memphis Grizzlies,0.0,0.0,0.0,1
126,2021-11-05,Toronto Raptors,Cleveland Cavaliers,0.11111111111111105,0.0,1.1111111111111,0
127,2021-11-05,Milwaukee Bucks,New York Knicks,-0.19642857142857145,0.0,-6.142857142857139,0
128,2021-11-05,Minnesota Timberwolves,LA Clippers,0.0,-1.0,-0.7142857142857082,0
129,2021-11-05,Golden State Warriors,New Orleans Pelicans,0.746031746031746,0.0,8.063492063492063,1
130,2021-11-05,Portland Trail Blazers,Indiana Pacers,0.041666666666666685,0.0,-0.22222222222222854,1
131,2021-11-05,Sacramento Kings,Charlotte Hornets,-0.05555555555555558,0.0,-4.791666666666671,1
132,2021-11-06,Denver Nuggets,Houston Rockets,0.375,0.0,-3.25,1
133,2021-11-06,Miami Heat,Utah Jazz,-0.125,0.0,-1.875,1
134,2021-11-06,Chicago Bulls,Philadelphia 76ers,-0.02777777777777779,-1.0,-2.5277777777777715,0
135,2021-11-06,Dallas Mavericks,Boston Celtics,0.18055555555555558,0.0,-8.208333333333329,1
136,2021-11-06,Phoenix Suns,Atlanta Hawks,0.12698412698412698,0.0,1.9365079365079367,1
137,2021-11-06,Portland Trail Blazers,Los Angeles Lakers,-0.11111111111111116,0.0,-1.4444444444444429,1
138,2021-11-07,Toronto Raptors,Brooklyn Nets,-0.15000000000000002,0.0,-0.22499999999999432,0
139,2021-11-07,New York Knicks,Cleveland Cavaliers,0.06666666666666665,0.0,9.0,0
140,2021-11-07,Orlando Magic,Utah Jazz,-0.5777777777777777,0.0,-13.099999999999994,1
141,2021-11-07,Washington Wizards,Milwaukee Bucks,0.29166666666666663,0.0,5.583333333333329,1
142,2021-11-07,Sacramento Kings,Indiana Pacers,0.2555555555555556,0.0,2.5222222222222257,0
143,2021-11-07,Oklahoma City Thunder,San Antonio Spurs,-0.08333333333333331,0.0,-10.888888888888886,1
144,2021-11-07,Golden State Warriors,Houston Rockets,0.7638888888888888,0.0,9.680555555555557,1
145,2021-11-07,LA Clippers,Charlotte Hornets,0.0,0.0,-8.825000000000003,1
146,2021-11-08,Philadelphia 76ers,New York Knicks,0.20000000000000007,-1.0,-1.5,0
147,2021-11-08,Chicago Bulls,Brooklyn Nets,-0.11111111111111116,0.0,1.5555555555555571,1
148,2021-11-08,Memphis Grizzlies,Minnesota Timberwolves,0.18055555555555558,0.0,5.9722222222222285,1
149,2021-11-08,Dallas Mavericks,New Orleans Pelicans,0.5666666666666667,0.0,0.3777777777777658,1
150,2021-11-08,Denver Nuggets,Miami Heat,-0.2222222222222222,0.0,-11.0,1
151,2021-11-08,Golden State Warriors,Atlanta Hawks,0.4888888888888888,0.0,6.088888888888889,1
152,2021-11-08,Sacramento Kings,Phoenix Suns,-0.125,1.0,0.75,0
153,2021-11-08,Los Angeles Lakers,Charlotte Hornets,0.04545454545454547,0.0,-3.354545454545459,1
154,2021-11-09,Philadelphia 76ers,Milwaukee Bucks,0.393939393939394,0.0,5.282828282828291,0
155,2021-11-09,Utah Jazz,Atlanta Hawks,0.3363636363636363,1.0,3.4272727272727366,1
156,2021-11-09,LA Clippers,Portland Trail Blazers,0.05555555555555558,0.0,-3.299999999999997,1
157,2021-11-10,Cleveland Cavaliers,Washington Wizards,-0.0636363636363636,0.0,-4.299999999999997,0
158,2021-11-10,Orlando Magic,Brooklyn Nets,-0.42727272727272725,0.0,-4.654545454545456,0
159,2021-11-10,Boston Celtics,Toronto Raptors,-0.1454545454545454,-1.0,4.072727272727263,1
160,2021-11-10,New York Knicks,Milwaukee Bucks,0.23636363636363633,1.0,5.927272727272737,0
161,2021-11-10,Houston Rockets,Detroit Pistons,-0.0111111111111111,0.0,8.911111111111111,0
162,2021-11-10,Chicago Bulls,Dallas Mavericks,0.0,0.0,6.5,1
163,2021-11-10,Memphis Grizzlies,Charlotte Hornets,0.1833333333333333,0.0,-4.349999999999994,0
164,2021-11-10,New Orleans Pelicans,Oklahoma City Thunder,-0.2424242424242424,0.0,2.4343434343434325,0
165,2021-11-10,San Antonio Spurs,Sacramento Kings,-0.15454545454545454,0.0,-2.963636363636354,1
166,2021-11-10,Denver Nuggets,Indiana Pacers,0.23636363636363633,0.0,-7.281818181818181,1
167,2021-11-10,Phoenix Suns,Portland Trail Blazers,0.2121212121212121,-1.0,-0.07070707070707272,1
168,2021-11-10,Golden State Warriors,Minnesota Timberwolves,0.5666666666666667,0.0,11.200000000000003,1
169,2021-11-10,Los Angeles Lakers,Miami Heat,-0.15454545454545454,0.0,1.4454545454545524,1
170,2021-11-11,Philadelphia 76ers,Toronto Raptors,0.16666666666666663,0.0,6.333333333333343,0
171,2021-11-11,Utah Jazz,Indiana Pacers,0.393939393939394,0.0,3.2954545454545467,0
172,2021-11-11,LA Clippers,Miami Heat,-0.036363636363636376,0.0,-2.7272727272727337,1
173,2021-11-12,Charlotte Hornets,New York Knicks,-0.1217948717948718,0.0,3.788461538461533,1
174,2021-11-12,Boston Celtics,Milwaukee Bucks,0.0,0.0,2.0,1
175,2021-11-12,Cleveland Cavaliers,Detroit Pistons,0.38333333333333336,0.0,8.400000000000006,1
176,2021-11-12,Houston Rockets,Portland Trail Blazers,-0.3257575757575758,0.0,-6.265151515151516,0
177,2021-11-12,Memphis Grizzlies,Phoenix Suns,-0.15454545454545454,0.0,-1.2727272727272663,0
178,2021-11-12,New Orleans Pelicans,Brooklyn Nets,-0.6439393939393939,0.0,-6.318181818181813,0
179,2021-11-12,Oklahoma City Thunder,Sacramento Kings,-0.016666666666666663,0.0,-11.816666666666677,1
180,2021-11-12,San Antonio Spurs,Dallas Mavericks,-0.2727272727272727,-1.0,7.181818181818187,0
181,2021-11-12,Denver Nuggets,Atlanta Hawks,0.30303030303030304,0.0,-5.598484848484858,1
182,2021-11-12,Golden State Warriors,Chicago Bulls,0.18181818181818177,0.0,6.272727272727266,1
183,2021-11-12,Los Angeles Lakers,Minnesota Timberwolves,0.2833333333333334,0.0,7.650000000000006,0
184,2021-11-13,Utah Jazz,Miami Heat,0.08333333333333326,-1.0,0.0,0
185,2021-11-13,Indiana Pacers,Philadelphia 76ers,-0.23076923076923078,0.0,-1.1538461538461462,1
186,2021-11-13,Orlando Magic,Washington Wizards,-0.4772727272727273,0.0,-9.424242424242422,0
187,2021-11-13,New Orleans Pelicans,Memphis Grizzlies,-0.4230769230769231,0.0,-7.032051282051285,1
188,2021-11-13,Toronto Raptors,Detroit Pistons,0.3566433566433566,0.0,9.32167832167832,0
189,2021-11-13,Cleveland Cavaliers,Boston Celtics,0.11538461538461542,0.0,-5.038461538461533,1
190,2021-11-13,LA Clippers,Minnesota Timberwolves,0.2727272727272727,1.0,3.5454545454545467,1
191,2021-11-14,Los Angeles Lakers,San Antonio Spurs,0.20512820512820512,1.0,0.0833333333333286,1
192,2021-11-14,Atlanta Hawks,Milwaukee Bucks,-0.10897435897435898,0.0,-0.3782051282051384,1
193,2021-11-14,Charlotte Hornets,Golden State Warriors,-0.41666666666666663,-1.0,-2.3809523809523796,1
194,2021-11-14,Houston Rockets,Phoenix Suns,-0.6439393939393939,-1.0,-8.893939393939405,0
195,2021-11-14,Oklahoma City Thunder,Brooklyn Nets,-0.29545454545454547,0.0,-8.280303030303031,0
196,2021-11-14,Denver Nuggets,Portland Trail Blazers,0.20512820512820507,0.0,-7.532051282051285,1
197,2021-11-14,LA Clippers,Chicago Bulls,0.0,0.0,1.8333333333333286,0
198,2021-11-15,Cleveland Cavaliers,Boston Celtics,0.18131868131868134,1.0,-4.42307692307692,0
199,2021-11-15,Detroit Pistons,Sacramento Kings,-0.13461538461538464,0.0,-12.724358974358978,0
200,2021-11-15,Washington Wizards,New Orleans Pelicans,0.6071428571428572,0.0,6.523809523809533,1
201,2021-11-15,Atlanta Hawks,Orlando Magic,0.12637362637362637,0.0,8.42307692307692,1
202,2021-11-15,New York Knicks,Indiana Pacers,0.10989010989010989,-1.0,0.4725274725274744,1
203,2021-11-15,Dallas Mavericks,Denver Nuggets,-0.02564102564102566,-1.0,0.7307692307692264,1
204,2021-11-15,Memphis Grizzlies,Houston Rockets,0.38461538461538464,0.0,6.076923076923066,1
205,2021-11-15,Minnesota Timberwolves,Phoenix Suns,-0.4166666666666667,0.0,-7.416666666666671,0
206,2021-11-15,Oklahoma City Thunder,Miami Heat,-0.19871794871794873,0.0,-11.282051282051285,0
207,2021-11-15,Portland Trail Blazers,Toronto Raptors,-0.07142857142857145,0.0,3.142857142857139,1
208,2021-11-15,Los Angeles Lakers,Chicago Bulls,-0.1208791208791209,0.0,2.6703296703296786,0
209,2021-11-16,Brooklyn Nets,Golden State Warriors,-0.07692307692307687,0.0,-6.230769230769241,0
210,2021-11-16,Utah Jazz,Philadelphia 76ers,0.04395604395604402,0.0,0.2967032967032992,1
211,2021-11-16,LA Clippers,San Antonio Spurs,0.3076923076923077,0.0,-1.0769230769230802,1
212,2021-11-17,Charlotte Hornets,Washington Wizards,-0.23589743589743595,0.0,4.882051282051279,1
213,2021-11-17,Detroit Pistons,Indiana Pacers,-0.16923076923076924,0.0,-9.158974358974362,1
214,2021-11-17,Atlanta Hawks,Boston Celtics,-0.09999999999999998,0.0,1.719047619047629,1
215,2021-11-17,Brooklyn Nets,Cleveland Cavaliers,0.11428571428571432,0.0,5.4095238095238045,1
216,2021-11-17,Miami Heat,New Orleans Pelicans,0.5095238095238096,0.0,8.07142857142857,1
217,2021-11-17,New York Knicks,Orlando Magic,0.3571428571428571,0.0,8.42857142857143,0
218,2021-11-17,Milwaukee Bucks,Los Angeles Lakers,-0.1487179487179487,0.0,-3.4153846153846104,1
219,2021-11-17,Minnesota Timberwolves,Sacramento Kings,-0.12087912087912084,0.0,-7.719780219780219,1
220,2021-11-17,Oklahoma City Thunder,Houston Rockets,0.3131868131868132,-1.0,-3.1703296703296786,1
221,2021-11-17,Phoenix Suns,Dallas Mavericks,0.07692307692307698,0.0,6.0,1
222,2021-11-17,Portland Trail Blazers,Chicago Bulls,-0.24761904761904763,0.0,0.6285714285714334,1
223,2021-11-18,Cleveland Cavaliers,Golden State Warriors,-0.2946428571428571,0.0,-12.714285714285708,0
224,2021-11-18,Miami Heat,Washington Wizards,-0.04761904761904767,0.0,3.4095238095238045,1
225,2021-11-18,Memphis Grizzlies,LA Clippers,-0.1428571428571429,1.0,1.5,1
226,2021-11-18,Minnesota Timberwolves,San Antonio Spurs,0.07142857142857145,0.0,-4.214285714285722,1
227,2021-11-18,Denver Nuggets,Philadelphia 76ers,0.10952380952380958,0.0,-4.628571428571433,0
228,2021-11-18,Utah Jazz,Toronto Raptors,0.17619047619047623,0.0,4.923809523809524,1
229,2021-11-19,Charlotte Hornets,Indiana Pacers,0.1875,1.0,5.9375,1
230,2021-11-19,Detroit Pistons,Golden State Warriors,-0.580952380952381,0.0,-16.25238095238096,0
231,2021-11-19,Boston Celtics,Los Angeles Lakers,-0.033333333333333326,0.0,-2.6458333333333286,1
232,2021-11-19,Brooklyn Nets,Orlando Magic,0.4666666666666666,1.0,8.0,1
233,2021-11-19,Milwaukee Bucks,Oklahoma City Thunder,0.0,0.0,7.785714285714278,1
234,2021-11-19,New Orleans Pelicans,LA Clippers,-0.475,0.0,-6.583333333333329,1
235,2021-11-19,Denver Nuggets,Chicago Bulls,-0.06666666666666665,0.0,-5.866666666666674,0
236,2021-11-19,Phoenix Suns,Dallas Mavericks,0.1428571428571428,1.0,6.071428571428569,1
237,2021-11-19,Sacramento Kings,Toronto Raptors,-0.03749999999999998,0.0,4.916666666666671,0
238,2021-11-20,New York Knicks,Houston Rockets,0.4666666666666667,0.0,6.733333333333334,1
239,2021-11-20,Indiana Pacers,New Orleans Pelicans,0.17647058823529413,0.0,5.705882352941174,1
240,2021-11-20,Washington Wizards,Miami Heat,-0.02083333333333337,-1.0,-4.174999999999997,1
241,2021-11-20,Atlanta Hawks,Charlotte Hornets,-0.15073529411764708,0.0,-3.764705882352942,1
242,2021-11-20,Boston Celtics,Oklahoma City Thunder,0.09999999999999998,0.0,9.99166666666666,1
243,2021-11-20,Milwaukee Bucks,Orlando Magic,0.21666666666666667,0.0,4.86666666666666,1
244,2021-11-20,Minnesota Timberwolves,Memphis Grizzlies,-0.1333333333333333,-1.0,-5.666666666666671,1
245,2021-11-20,Portland Trail Blazers,Philadelphia 76ers,-0.0625,-1.0,1.5,1
246,2021-11-20,Sacramento Kings,Utah Jazz,-0.29166666666666663,-1.0,-2.0875000000000057,0
247,2021-11-21,LA Clippers,Dallas Mavericks,-0.03749999999999998,0.0,2.1583333333333314,1
248,2021-11-21,Detroit Pistons,Los Angeles Lakers,-0.20392156862745098,0.0,-10.76862745098039,0
249,2021-11-21,Chicago Bulls,New York Knicks,0.125,-1.0,1.25,1
250,2021-11-21,Phoenix Suns,Denver Nuggets,0.23750000000000004,-1.0,7.729166666666671,1
251,2021-11-21,Golden State Warriors,Toronto Raptors,0.40441176470588236,0.0,7.992647058823536,1
252,2021-11-22,Cleveland Cavaliers,Brooklyn Nets,-0.22058823529411764,-1.0,-6.919117647058826,0
253,2021-11-22,Washington Wizards,Charlotte Hornets,0.13194444444444442,-1.0,-6.333333333333329,0
254,2021-11-22,Atlanta Hawks,Oklahoma City Thunder,0.09558823529411764,0.0,10.790441176470594,1
255,2021-11-22,Boston Celtics,Houston Rockets,0.46691176470588236,1.0,7.481617647058826,1
256,2021-11-22,Chicago Bulls,Indiana Pacers,0.3169934640522876,0.0,1.6013071895424815,0
257,2021-11-22,Milwaukee Bucks,Orlando Magic,0.2647058823529412,1.0,5.150735294117652,1
258,2021-11-22,New Orleans Pelicans,Minnesota Timberwolves,-0.27083333333333337,0.0,-6.048611111111114,0
259,2021-11-22,San Antonio Spurs,Phoenix Suns,-0.5458333333333334,0.0,-4.49166666666666,0
260,2021-11-22,Utah Jazz,Memphis Grizzlies,0.1875,0.0,2.5625,0
261,2021-11-22,Sacramento Kings,Philadelphia 76ers,-0.1764705882352941,0.0,1.0,0
262,2021-11-23,Detroit Pistons,Miami Heat,-0.3970588235294118,0.0,-10.202205882352942,0
263,2021-11-23,New York Knicks,Los Angeles Lakers,0.02941176470588236,0.0,-2.5947712418300597,1
