,Date,Home,Away,Win Percent Diff,WP vs. A Diff,Points Diff,Result
0,2020-12-22,Brooklyn Nets,Golden State Warriors,0.0,0.0,0.0,1
1,2020-12-22,Los Angeles Lakers,LA Clippers,0.0,0.0,0.0,0
2,2020-12-23,Minnesota Timberwolves,Detroit Pistons,0.0,0.0,0.0,1
3,2020-12-23,Chicago Bulls,Atlanta Hawks,0.0,0.0,0.0,0
4,2020-12-23,Cleveland Cavaliers,Charlotte Hornets,0.0,0.0,0.0,1
5,2020-12-23,Orlando Magic,Miami Heat,0.0,0.0,0.0,1
6,2020-12-23,Toronto Raptors,New Orleans Pelicans,0.0,0.0,0.0,0
7,2020-12-23,Indiana Pacers,New York Knicks,0.0,0.0,0.0,1
8,2020-12-23,Portland Trail Blazers,Utah Jazz,0.0,0.0,0.0,0
9,2020-12-23,Denver Nuggets,Sacramento Kings,0.0,0.0,0.0,0
10,2020-12-23,Philadelphia 76ers,Washington Wizards,0.0,0.0,0.0,1
11,2020-12-23,Boston Celtics,Milwaukee Bucks,0.0,0.0,0.0,1
12,2020-12-23,Memphis Grizzlies,San Antonio Spurs,0.0,0.0,0.0,0
13,2020-12-23,Phoenix Suns,Dallas Mavericks,0.0,0.0,0.0,1
14,2020-12-25,Milwaukee Bucks,Golden State Warriors,0.0,0.0,121.0,1
15,2020-12-25,Boston Celtics,Brooklyn Nets,1.0,0.0,122.0,0
16,2020-12-25,Miami Heat,New Orleans Pelicans,-1.0,0.0,-6.0,1
17,2020-12-25,Denver Nuggets,LA Clippers,-1.0,0.0,6.0,0
18,2020-12-25,Los Angeles Lakers,Dallas Mavericks,0.0,0.0,7.0,1
19,2020-12-26,Memphis Grizzlies,Atlanta Hawks,-1.0,0.0,-5.0,0
20,2020-12-26,Washington Wizards,Orlando Magic,-1.0,0.0,-6.0,0
21,2020-12-26,Detroit Pistons,Cleveland Cavaliers,-1.0,0.0,-20.0,0
22,2020-12-26,New York Knicks,Philadelphia 76ers,-1.0,0.0,-6.0,0
23,2020-12-26,Charlotte Hornets,Oklahoma City Thunder,0.0,0.0,114.0,0
24,2020-12-26,Chicago Bulls,Indiana Pacers,-1.0,0.0,-17.0,0
25,2020-12-26,San Antonio Spurs,Toronto Raptors,1.0,0.0,32.0,1
26,2020-12-26,Portland Trail Blazers,Houston Rockets,0.0,0.0,100.0,1
27,2020-12-26,Utah Jazz,Minnesota Timberwolves,0.0,0.0,9.0,0
28,2020-12-26,Sacramento Kings,Phoenix Suns,0.0,0.0,18.0,1
29,2020-12-27,Chicago Bulls,Golden State Warriors,0.0,0.0,6.0,0
30,2020-12-27,Los Angeles Lakers,Minnesota Timberwolves,-0.5,0.0,10.0,1
31,2020-12-27,Washington Wizards,Orlando Magic,-1.0,-1.0,-8.0,0
32,2020-12-27,Sacramento Kings,Phoenix Suns,0.5,1.0,10.5,0
33,2020-12-27,New York Knicks,Milwaukee Bucks,-0.5,0.0,-31.5,1
34,2020-12-27,New Orleans Pelicans,San Antonio Spurs,-0.5,0.0,-19.5,1
35,2020-12-27,Indiana Pacers,Boston Celtics,0.5,0.0,14.5,1
36,2020-12-27,LA Clippers,Dallas Mavericks,1.0,0.0,10.0,0
37,2020-12-27,Charlotte Hornets,Brooklyn Nets,-1.0,0.0,-12.5,1
38,2020-12-27,Cleveland Cavaliers,Philadelphia 76ers,0.0,0.0,13.5,1
39,2020-12-28,Atlanta Hawks,Detroit Pistons,1.0,0.0,13.0,1
40,2020-12-28,Los Angeles Lakers,Portland Trail Blazers,0.16666666666666663,0.0,10.666666666666671,0
41,2020-12-28,Denver Nuggets,Houston Rockets,0.0,0.0,-11.0,1
42,2020-12-28,Oklahoma City Thunder,Utah Jazz,0.5,0.0,-6.5,0
43,2020-12-28,Brooklyn Nets,Memphis Grizzlies,0.5,0.0,-2.0,0
44,2020-12-29,Miami Heat,Milwaukee Bucks,0.16666666666666669,0.0,-14.0,0
45,2020-12-29,Philadelphia 76ers,Toronto Raptors,0.6666666666666666,0.0,-1.1666666666666714,1
46,2020-12-29,Detroit Pistons,Golden State Warriors,-0.5,0.0,-0.6666666666666714,0
47,2020-12-29,Indiana Pacers,Boston Celtics,0.6666666666666667,1.0,10.0,0
48,2020-12-29,Phoenix Suns,New Orleans Pelicans,0.0,0.0,5.333333333333329,1
49,2020-12-29,Washington Wizards,Chicago Bulls,0.0,0.0,0.6666666666666572,0
50,2020-12-29,Oklahoma City Thunder,Orlando Magic,-0.5,0.0,-12.0,0
51,2020-12-29,Sacramento Kings,Denver Nuggets,0.3333333333333333,1.0,-8.0,1
52,2020-12-29,LA Clippers,Minnesota Timberwolves,0.0,0.0,-2.6666666666666714,1
53,2020-12-29,Cleveland Cavaliers,New York Knicks,0.6666666666666667,0.0,13.666666666666657,0
54,2020-12-30,Brooklyn Nets,Atlanta Hawks,-0.6666666666666667,0.0,-12.0,1
55,2020-12-30,San Antonio Spurs,Los Angeles Lakers,0.16666666666666663,0.0,-5.25,0
56,2020-12-30,Dallas Mavericks,Charlotte Hornets,0.0,0.0,4.666666666666671,0
57,2020-12-30,Boston Celtics,Memphis Grizzlies,0.16666666666666669,0.0,-5.666666666666671,1
58,2020-12-30,LA Clippers,Portland Trail Blazers,0.08333333333333337,0.0,-5.833333333333329,1
59,2020-12-30,Miami Heat,Milwaukee Bucks,-0.16666666666666669,-1.0,-23.25,1
60,2020-12-31,Washington Wizards,Chicago Bulls,-0.25,-1.0,-1.5,0
61,2020-12-31,Oklahoma City Thunder,New Orleans Pelicans,-0.16666666666666669,0.0,9.583333333333329,0
62,2020-12-31,Orlando Magic,Philadelphia 76ers,0.25,0.0,16.25,0
63,2020-12-31,Utah Jazz,Phoenix Suns,-0.08333333333333337,0.0,4.666666666666671,0
64,2020-12-31,Indiana Pacers,Cleveland Cavaliers,0.0,0.0,3.0,1
65,2020-12-31,Houston Rockets,Sacramento Kings,-0.75,0.0,4.75,1
66,2020-12-31,Toronto Raptors,New York Knicks,-0.5,0.0,-3.25,1
67,2021-01-01,Golden State Warriors,Portland Trail Blazers,0.16666666666666663,0.0,2.6666666666666714,0
68,2021-01-01,Charlotte Hornets,Memphis Grizzlies,0.25,0.0,-2.25,0
69,2021-01-01,Brooklyn Nets,Atlanta Hawks,-0.25,1.0,-8.0,0
70,2021-01-01,Dallas Mavericks,Miami Heat,-0.25,0.0,1.5,1
71,2021-01-01,Utah Jazz,LA Clippers,-0.30000000000000004,0.0,-3.4000000000000057,1
72,2021-01-01,Detroit Pistons,Boston Celtics,-0.6,0.0,-1.7000000000000028,1
73,2021-01-01,San Antonio Spurs,Los Angeles Lakers,-0.09999999999999998,-1.0,-7.400000000000006,0
74,2021-01-01,Minnesota Timberwolves,Washington Wizards,0.5,0.0,-10.650000000000006,0
75,2021-01-01,Denver Nuggets,Phoenix Suns,-0.55,0.0,8.849999999999994,0
76,2021-01-01,Milwaukee Bucks,Chicago Bulls,0.0,0.0,7.0,1
77,2021-01-02,Indiana Pacers,New York Knicks,0.4,1.0,16.0,0
78,2021-01-02,Philadelphia 76ers,Charlotte Hornets,0.4,0.0,-1.1999999999999886,1
79,2021-01-02,Atlanta Hawks,Cleveland Cavaliers,0.20000000000000007,0.0,15.399999999999991,0
80,2021-01-02,Houston Rockets,Sacramento Kings,-0.26666666666666666,1.0,4.866666666666674,1
81,2021-01-02,New Orleans Pelicans,Toronto Raptors,0.35,1.0,0.09999999999999432,1
82,2021-01-02,Orlando Magic,Oklahoma City Thunder,0.55,1.0,13.349999999999994,0
83,2021-01-03,Chicago Bulls,Dallas Mavericks,-0.06666666666666671,0.0,7.066666666666677,1
84,2021-01-03,Phoenix Suns,LA Clippers,0.16666666666666674,0.0,-2.3333333333333286,0
85,2021-01-03,Detroit Pistons,Boston Celtics,-0.3,1.0,-1.433333333333323,0
86,2021-01-03,San Antonio Spurs,Utah Jazz,-0.19999999999999996,0.0,2.5999999999999943,0
87,2021-01-03,Minnesota Timberwolves,Denver Nuggets,0.2,0.0,-8.800000000000011,0
88,2021-01-03,Golden State Warriors,Portland Trail Blazers,-0.09999999999999998,-1.0,-3.700000000000003,1
89,2021-01-03,Brooklyn Nets,Washington Wizards,0.23333333333333336,0.0,-2.0333333333333314,0
90,2021-01-03,Memphis Grizzlies,Los Angeles Lakers,-0.2666666666666666,0.0,-6.099999999999994,0
91,2021-01-04,Golden State Warriors,Sacramento Kings,0.09999999999999998,0.0,4.466666666666669,1
92,2021-01-04,Toronto Raptors,Boston Celtics,-0.3714285714285714,0.0,-7.171428571428564,0
93,2021-01-04,Orlando Magic,Cleveland Cavaliers,0.0,0.0,4.0,1
94,2021-01-04,Atlanta Hawks,New York Knicks,0.16666666666666663,0.0,18.33333333333333,0
95,2021-01-04,Houston Rockets,Dallas Mavericks,0.16666666666666669,0.0,8.416666666666671,0
96,2021-01-04,New Orleans Pelicans,Indiana Pacers,0.0,0.0,-9.666666666666657,0
97,2021-01-04,Milwaukee Bucks,Detroit Pistons,0.33333333333333337,0.0,14.166666666666671,1
98,2021-01-04,Miami Heat,Oklahoma City Thunder,0.0,0.0,0.8000000000000114,1
99,2021-01-04,Philadelphia 76ers,Charlotte Hornets,0.5,1.0,1.5,1
100,2021-01-05,Denver Nuggets,Minnesota Timberwolves,0.0,1.0,9.833333333333329,1
101,2021-01-05,LA Clippers,San Antonio Spurs,0.380952380952381,0.0,-0.095238095238102,0
102,2021-01-05,Portland Trail Blazers,Chicago Bulls,0.07142857142857145,0.0,1.2142857142857082,0
103,2021-01-05,Memphis Grizzlies,Los Angeles Lakers,-0.380952380952381,-1.0,-7.666666666666671,0
104,2021-01-05,Brooklyn Nets,Utah Jazz,-0.3333333333333333,0.0,4.833333333333329,1
105,2021-01-06,Atlanta Hawks,Charlotte Hornets,0.2857142857142857,0.0,11.0,0
106,2021-01-06,Phoenix Suns,Toronto Raptors,0.5476190476190477,0.0,1.8571428571428612,1
107,2021-01-06,Golden State Warriors,LA Clippers,0.04166666666666663,0.0,8.458333333333329,0
108,2021-01-06,New Orleans Pelicans,Oklahoma City Thunder,0.23809523809523808,1.0,5.785714285714292,0
109,2021-01-06,Miami Heat,Boston Celtics,-0.125,0.0,-7.541666666666671,0
110,2021-01-06,Indiana Pacers,Houston Rockets,0.3142857142857143,0.0,2.6571428571428584,1
111,2021-01-06,Philadelphia 76ers,Washington Wizards,0.5714285714285714,1.0,-7.571428571428569,1
112,2021-01-06,Milwaukee Bucks,Detroit Pistons,0.42857142857142855,1.0,13.57142857142857,1
113,2021-01-06,Sacramento Kings,Chicago Bulls,-0.07142857142857145,0.0,-3.3035714285714306,1
114,2021-01-06,Orlando Magic,Cleveland Cavaliers,0.1428571428571429,1.0,6.285714285714278,1
115,2021-01-06,New York Knicks,Utah Jazz,0.0,0.0,-6.428571428571416,1
116,2021-01-07,Denver Nuggets,Dallas Mavericks,0.0,0.0,9.285714285714292,0
117,2021-01-07,Los Angeles Lakers,San Antonio Spurs,0.32142857142857145,1.0,2.6964285714285694,0
118,2021-01-07,Memphis Grizzlies,Cleveland Cavaliers,-0.2142857142857143,0.0,3.732142857142861,0
119,2021-01-07,Brooklyn Nets,Philadelphia 76ers,-0.44642857142857145,0.0,3.964285714285708,1
120,2021-01-07,Portland Trail Blazers,Minnesota Timberwolves,0.14285714285714285,0.0,6.857142857142861,1
121,2021-01-08,Memphis Grizzlies,Brooklyn Nets,-0.25,1.0,-14.375,1
122,2021-01-08,Boston Celtics,Washington Wizards,0.41666666666666663,0.0,-8.083333333333329,1
123,2021-01-08,Houston Rockets,Orlando Magic,-0.4166666666666667,0.0,1.3333333333333286,1
124,2021-01-08,Milwaukee Bucks,Utah Jazz,0.125,0.0,16.75,0
125,2021-01-08,Sacramento Kings,Toronto Raptors,0.35714285714285715,0.0,5.464285714285708,0
