Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
Tue Oct 24 2023,7:30p,Los Angeles Lakers,107,Denver Nuggets,119
Tue Oct 24 2023,10:00p,Phoenix Suns,108,Golden State Warriors,104
Wed Oct 25 2023,7:00p,Houston Rockets,86,Orlando Magic,116
Wed Oct 25 2023,7:00p,Boston Celtics,108,New York Knicks,104
Wed Oct 25 2023,7:00p,Washington Wizards,120,Indiana Pacers,143
Wed Oct 25 2023,7:00p,Atlanta Hawks,110,Charlotte Hornets,116
Wed Oct 25 2023,7:30p,Detroit Pistons,102,Miami Heat,103
Wed Oct 25 2023,7:30p,Minnesota Timberwolves,94,Toronto Raptors,97
Wed Oct 25 2023,7:30p,Cleveland Cavaliers,114,Brooklyn Nets,113
Wed Oct 25 2023,8:00p,New Orleans Pelicans,111,Memphis Grizzlies,104
Wed Oct 25 2023,8:00p,Oklahoma City Thunder,124,Chicago Bulls,104
Wed Oct 25 2023,9:00p,Sacramento Kings,130,Utah Jazz,114
Wed Oct 25 2023,9:30p,Dallas Mavericks,126,San Antonio Spurs,119
Wed Oct 25 2023,10:30p,Portland Trail Blazers,111,Los Angeles Clippers,123
Thu Oct 26 2023,7:30p,Philadelphia 76ers,117,Milwaukee Bucks,118
Thu Oct 26 2023,10:00p,Phoenix Suns,95,Los Angeles Lakers,100
Fri Oct 27 2023,7:00p,Denver Nuggets,108,Memphis Grizzlies,104
Fri Oct 27 2023,7:00p,Detroit Pistons,111,Charlotte Hornets,99
Fri Oct 27 2023,7:30p,New York Knicks,126,Atlanta Hawks,120
Fri Oct 27 2023,7:30p,Oklahoma City Thunder,108,Cleveland Cavaliers,105
Fri Oct 27 2023,7:30p,Miami Heat,111,Boston Celtics,119
Fri Oct 27 2023,8:00p,Toronto Raptors,103,Chicago Bulls,104
Fri Oct 27 2023,8:00p,Houston Rockets,122,San Antonio Spurs,126
Fri Oct 27 2023,8:30p,Brooklyn Nets,120,Dallas Mavericks,125
Fri Oct 27 2023,9:30p,Los Angeles Clippers,118,Utah Jazz,120
Fri Oct 27 2023,10:00p,Orlando Magic,102,Portland Trail Blazers,97
Fri Oct 27 2023,10:00p,Golden State Warriors,122,Sacramento Kings,114
Sat Oct 28 2023,7:00p,Chicago Bulls,102,Detroit Pistons,118
Sat Oct 28 2023,7:00p,Memphis Grizzlies,106,Washington Wizards,113
Sat Oct 28 2023,7:00p,New York Knicks,87,New Orleans Pelicans,96
Sat Oct 28 2023,7:30p,Indiana Pacers,125,Cleveland Cavaliers,113
Sat Oct 28 2023,7:30p,Philadelphia 76ers,114,Toronto Raptors,107
Sat Oct 28 2023,8:00p,Miami Heat,90,Minnesota Timberwolves,106
